year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2017,28.4700315457413,6.9006309148265,14.2350157728707,30.0473186119874,1.49842271293375,1.06466876971609,23.9353312302839,39.9053627760252,4.81072555205047,61.0804416403785,4.2192429022082
2018,29.3364377182771,8.3430345362825,16.336825766395,29.685681024447,2.01785021342647,1.51338766006985,24.5246410554909,41.7927823050058,4.77299185098952,65.9681800543267,4.92821109817617
2019,32.5,5,12.5,27.5,2.5,2.5,20,50,5,60,10
