year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2013,0.0826771653543307,0.0118110236220472,0.0118110236220472,0.125984251968504,0.00393700787401575,0,0.0866141732283465,0.318897637795276,0.0118110236220472,0.700787401574803,0.0118110236220472
2014,0.100323624595469,0.0194174757281553,0.0194174757281553,0.187702265372168,0.00323624595469256,0,0.0647249190938511,0.29126213592233,0.0194174757281553,0.766990291262136,0.0161812297734628
2015,0.178683385579937,0.00626959247648903,0.0125391849529781,0.15987460815047,0,0,0.0815047021943574,0.260188087774295,0.0156739811912226,0.780564263322884,0.0250783699059561
2016,0.122270742358079,0.0480349344978166,0.0393013100436681,0.117903930131004,0,0,0.174672489082969,0.262008733624454,0.00873362445414847,0.650655021834061,0.0349344978165939
