year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2014,23.6689106487148,19.0789473684211,11.4290085679315,11.7044063647491,2.203182374541,3.79436964504284,63.4026927784578,38.5403916768666,7.69583843329253,43.7882496940024,6.27294981640147
2015,24.5484020379805,18.7741238227574,13.555658483866,11.0390612938089,3.79805465493284,3.21136328547167,61.8959394781535,38.7833873706963,7.441716844218,45.7773660645361,8.58422109001081
2016,25.497287522604,21.1080059181325,21.8970902515206,9.60052605622226,4.10981423639651,6.3619924379418,60.364951504192,35.5252342594115,8.12099293111951,46.6381719546277,10.126582278481
