year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2014,21.4285714285714,2.38095238095238,4.76190476190476,18.2539682539683,0.793650793650794,0,16.6666666666667,27.7777777777778,0,75.3968253968254,2.38095238095238
2015,14.84375,3.125,3.125,18.75,0,0,22.65625,31.25,0.78125,63.28125,2.34375
2016,11.7647058823529,8.82352941176471,8.82352941176471,5.88235294117647,0,0,20.5882352941176,32.3529411764706,2.94117647058824,64.7058823529412,5.88235294117647
2017,7.69230769230769,7.69230769230769,0,0,0,0,15.3846153846154,30.7692307692308,0,61.5384615384615,7.69230769230769
2018,0,10,10,10,0,0,0,10,0,80,0
2019,10.3092783505155,3.09278350515464,5.15463917525773,8.76288659793814,0.515463917525773,0,7.7319587628866,25.2577319587629,0.515463917525773,80.4123711340206,1.54639175257732
2020,12.4031007751938,1.55038759689922,4.65116279069767,14.7286821705426,0,0.775193798449612,4.65116279069767,13.953488372093,0,73.6434108527132,3.10077519379845
