year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2016,0,0,0,0,0,0,0.2,0,0,1,0
2017,0.25,0.125,0,0.125,0,0,0.25,0.375,0.125,0.625,0
2018,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857,0
