year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2015,0.2444120505345,0.0894071914480078,0.0772594752186589,0.227891156462585,0.00631681243926142,0.00291545189504373,0.292031098153547,0.376093294460641,0.032555879494655,0.645286686103013,0.0383867832847425
2016,0.261838440111421,0.0620771985674493,0.121368881814564,0.307600477516912,0.0147234381217668,0.0115399920413848,0.217270194986072,0.383605252686033,0.0457620374054914,0.662952646239554,0.0425785913251094
2017,0.284700315457413,0.069006309148265,0.142350157728707,0.300473186119874,0.0149842271293375,0.0106466876971609,0.239353312302839,0.399053627760252,0.0481072555205047,0.610804416403785,0.042192429022082
2018,0.293364377182771,0.083430345362825,0.16336825766395,0.29685681024447,0.0201785021342646,0.0151338766006985,0.245246410554909,0.417927823050058,0.0477299185098952,0.659681800543267,0.0492821109817617
2019,0.325,0.05,0.125,0.275,0.025,0.025,0.2,0.5,0.05,0.6,0.1
