year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2008,0.0487804878048781,0.0139372822299652,0.0174216027874564,0.0418118466898955,0.00348432055749129,0,0.411149825783972,0.365853658536585,0.00348432055749129,0.519163763066202,0.0139372822299652
2009,0.0385487528344671,0.00680272108843537,0.018140589569161,0.0702947845804989,0.0113378684807256,0.00226757369614512,0.394557823129252,0.287981859410431,0.00680272108843537,0.480725623582766,0.0226757369614512
2010,0.0883838383838384,0.0151515151515152,0.0151515151515152,0.0631313131313131,0.00505050505050505,0,0.21969696969697,0.305555555555556,0.00505050505050505,0.643939393939394,0.0353535353535354
