year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2011,0.124903623747109,0.122590593677718,0.0498586481624261,0.0298123875610383,0.065792855307119,0.000514006682086867,0.762271909534824,0.379593934721151,0.0452325880236443,0.293240812130558,0.0287843741968646
2012,0.178297340710334,0.145100838836338,0.04604676066393,0.0953060860253436,0.0758522220239158,0.00107085489916116,0.647688738175977,0.374442263073354,0.058897019453864,0.326610744244155,0.0212386221666964
2013,0.205461847389558,0.16,0.073574297188755,0.119036144578313,0.0803212851405622,0.000803212851405623,0.593734939759036,0.367550200803213,0.065863453815261,0.361285140562249,0.0478714859437751
