year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,0.137803590285111,0.0654699049630412,0.0496304118268215,0.123548046462513,0.045934530095037,0,0.466737064413939,0.439809926082365,0.0269271383315734,0.50791974656811,0.0163674762407603
2013,0.157731157731158,0.08003108003108,0.0683760683760684,0.184149184149184,0.0442890442890443,0.000777000777000777,0.388500388500388,0.438228438228438,0.0256410256410256,0.517482517482518,0.0217560217560218
2014,0.217416715371128,0.0794856808883694,0.092343658679135,0.24021040327294,0.00584453535943892,0.00409117475160725,0.306838106370544,0.383401519579193,0.0362361192285213,0.629456458211572,0.0321449444769141
