year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,0.0427807486631016,0.0106951871657754,0.0160427807486631,0.122994652406417,0,0,0.117647058823529,0.438502673796791,0,0.6524064171123,0.0106951871657754
2013,0.0894736842105263,0.0157894736842105,0.0157894736842105,0.121052631578947,0.00526315789473684,0,0.0894736842105263,0.310526315789474,0.0105263157894737,0.678947368421053,0.0157894736842105
2014,0.107296137339056,0.0257510729613734,0.0257510729613734,0.197424892703863,0.00429184549356223,0,0.0772532188841202,0.283261802575107,0.0214592274678112,0.751072961373391,0.00858369098712446
