year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2013,0.181818181818182,0.102272727272727,0.0454545454545455,0.170454545454545,0.0795454545454545,0.0113636363636364,0.590909090909091,0.375,0.0681818181818182,0.397727272727273,0.102272727272727
2014,0.219047619047619,0.114285714285714,0.114285714285714,0.2,0.00952380952380952,0.0380952380952381,0.514285714285714,0.428571428571429,0.0761904761904762,0.552380952380952,0.0476190476190476
2015,0.259615384615385,0.173076923076923,0.115384615384615,0.153846153846154,0.0769230769230769,0.0673076923076923,0.471153846153846,0.355769230769231,0.0865384615384615,0.605769230769231,0.134615384615385
