year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2017,0.289940828402367,0.218934911242604,0.248520710059172,0.0414201183431953,0.0591715976331361,0.0946745562130177,0.715976331360947,0.29585798816568,0.130177514792899,0.36094674556213,0.0946745562130177
2018,0.340466926070039,0.217898832684825,0.188715953307393,0.0700389105058366,0.0252918287937743,0.0778210116731518,0.638132295719844,0.340466926070039,0.103112840466926,0.398832684824903,0.14591439688716
2019,0.315719947159841,0.261558784676354,0.192866578599736,0.0805812417437252,0.0369881109643329,0.0779392338177015,0.645970937912814,0.338177014531044,0.114927344782034,0.376486129458388,0.116248348745046
