year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2018,0.274953617810761,0.228200371057514,0.208719851576994,0.111688311688312,0.0432282003710575,0.0749536178107607,0.584786641929499,0.379591836734694,0.0922077922077922,0.466790352504638,0.111502782931354
2019,0.294876860266034,0.19109706308442,0.187672856578427,0.161332806532332,0.0389832740682207,0.0528118003424207,0.475306203081786,0.409324377716318,0.08033715264059,0.541814829448176,0.0899512709074147
2020,0.320413436692506,0.125507567368032,0.187892211148025,0.179032853451458,0.0332225913621262,0.0321151716500554,0.35031376891842,0.401993355481728,0.067921742340347,0.488741232927279,0.0893318567737172
