year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,0.999428571428571,1,1,1,1,1,0.996285714285714,1,1,0.994,1
2013,0.999428571428571,1,0.999428571428571,0.996285714285714,1,1,0.985142857142857,0.992,0.999428571428571,0.994,0.998857142857143
2014,0.999142857142857,1,0.997428571428571,0.990285714285714,0.994571428571429,1,0.613714285714286,0.965142857142857,0.996571428571429,0.993428571428571,0.994571428571429
