year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,0.999714285714286,1,1,0.857142857142857,1,1,0.856857142857143,1,1,0.999428571428571,1
2013,0.999714285714286,1,1,0.857142857142857,1,1,0.857142857142857,1,1,0.998857142857143,1
2014,0.999714285714286,1,1,0.857142857142857,1,1,0.857142857142857,1,1,0.998857142857143,1
2015,0.999714285714286,1,1,0.857142857142857,1,1,0.857142857142857,1,1,0.998571428571429,1
2016,0.999714285714286,1,1,0.714285714285714,1,1,0.852285714285714,0.999714285714286,1,0.998571428571429,0.999428571428571
2017,0.998571428571429,1,1,0.714285714285714,1,1,0.628,0.999714285714286,1,0.998571428571429,0.903142857142857
