year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2013,1,1,1,0.922857142857143,1,1,0.922857142857143,1,1,1,1
2014,1,1,1,0.922857142857143,1,1,0.922857142857143,1,1,1,1
2015,1,1,1,0.922857142857143,1,1,0.922571428571429,1,1,1,1
2016,0.999142857142857,0.960571428571429,0.998285714285714,0.922285714285714,1,1,0.855142857142857,1,1,0.998285714285714,0.996571428571429
2017,0.963142857142857,0.958285714285714,0.998285714285714,0.920857142857143,1,1,0.660857142857143,1,1,0.991714285714286,0.859428571428571
