year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2013,1,0.993714285714286,1,1,1,1,1,1,1,0.998571428571429,1
2014,1,0.951428571428571,0.985428571428571,0.999714285714286,1,1,1,1,1,0.988285714285714,1
2015,1,0.951142857142857,0.984285714285714,0.999714285714286,1,1,1,1,1,0.991428571428571,1
2016,1,0.951142857142857,0.979142857142857,0.999142857142857,1,1,1,0.999142857142857,1,0.992571428571429,1
2017,1,0.950285714285714,0.979142857142857,0.999142857142857,1,1,1,0.998571428571429,1,0.989142857142857,1
2018,0.999428571428571,0.950285714285714,0.978857142857143,0.999142857142857,1,1,1,1,0.999714285714286,0.981428571428571,1
