year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,1,0.947428571428571,1,1,1,1,0.934,0.936571428571429,1,0,1
2010,1,0.999428571428571,1,1,1,1,0.975714285714286,0.935142857142857,1,0.566857142857143,1
2011,1,1,1,1,1,1,0.934,0.934571428571429,1,0.566857142857143,1
2012,1,1,1,1,1,1,1,0.935142857142857,1,0.566857142857143,1
2013,1,1,1,1,1,1,1,0.934857142857143,1,0.566857142857143,1
2014,1,1,1,1,1,1,1,0.935142857142857,1,0.566571428571429,1
2015,1,1,1,1,1,1,1,0.934857142857143,1,0.566857142857143,1
2016,1,0.998857142857143,1,1,1,1,1,0.934571428571429,1,0.566857142857143,1
2017,1,0.995142857142857,1,1,1,1,1,0.934571428571429,1,0.566571428571429,1
2018,1,0.992857142857143,1,1,1,1,0.999714285714286,0.999714285714286,1,0.566571428571429,1
2019,1,0.955428571428571,1,1,1,1,1,0.935142857142857,1,0.566285714285714,1
