year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2013,1,1,1,1,1,1,1,0.977428571428571,1,0.962571428571429,1
2014,1,1,1,1,1,1,1,0.960285714285714,1,0.957428571428571,1
2015,1,0.999714285714286,1,1,1,1,1,0.959714285714286,1,0.964285714285714,1
2016,0.999142857142857,0.989714285714286,1,1,1,1,1,0.959714285714286,0.986571428571429,0.972857142857143,1
2017,0.998285714285714,0.983714285714286,0.987142857142857,1,1,1,1,0.959714285714286,0.971142857142857,0.965428571428571,1
