year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,0.999428571428571,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2010,0.999428571428571,0.999714285714286,1,1,1,1,0.999428571428571,1,1,0.999714285714286,1
2011,0.999428571428571,0.999714285714286,1,1,1,1,0.999142857142857,1,1,0.999714285714286,1
2012,0.999428571428571,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2013,0.999428571428571,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2014,0.999428571428571,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2015,0.999428571428571,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2016,0.856285714285714,0.999714285714286,1,1,1,1,1,1,1,0.999714285714286,1
2017,0.856,0.999714285714286,1,1,1,1,0.999714285714286,1,1,0.999714285714286,1
2018,0.855714285714286,0.999714285714286,1,1,1,1,0.999142857142857,1,1,0.999714285714286,0.999714285714286
2019,0.855142857142857,0.999714285714286,1,1,1,1,0.949714285714286,1,1,0.999714285714286,0.998285714285714
