year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,1,0.950571428571429,1,1,1,1,0.996,0.993714285714286,1,0.012,1
2010,1,0.950285714285714,1,1,1,1,0.999714285714286,0.989142857142857,1,0.991428571428571,1
2011,1,0.950285714285714,1,1,1,1,0.995428571428571,0.983142857142857,1,0.996,1
2012,1,0.950285714285714,1,1,1,1,0.812,0.989428571428571,1,0.994285714285714,1
2013,1,0.950285714285714,1,1,1,1,0.812,0.984857142857143,1,0.990857142857143,1
2014,1,0.950285714285714,1,1,1,1,0.812857142857143,0.989428571428571,1,0.895142857142857,1
2015,1,0.950285714285714,1,1,1,1,0.979714285714286,0.984571428571429,1,0.991714285714286,1
2016,1,0.950285714285714,1,1,1,1,0.822,0.980571428571429,1,0.990571428571429,1
2017,1,0.950285714285714,1,1,1,1,0.814571428571429,0.980571428571429,1,0.984571428571429,1
2018,1,0.950285714285714,1,1,1,1,0.810857142857143,0.999714285714286,1,0.966571428571429,1
