year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2014,0.997428571428571,0.998285714285714,0.995142857142857,0.997714285714286,1,1,0.998,0.996857142857143,1,0.997428571428571,1
2015,0.997428571428571,0.998285714285714,0.995142857142857,0.997714285714286,1,0.998571428571429,0.997714285714286,0.996571428571429,1,0.996857142857143,1
2016,0.997428571428571,0.997714285714286,0.995142857142857,0.997428571428571,1,0.997714285714286,0.997428571428571,0.999714285714286,1,0.997428571428571,1
2017,0.997142857142857,0.997142857142857,0.818857142857143,0.997428571428571,1,0.996857142857143,0.996857142857143,0.996285714285714,0.984857142857143,0.981714285714286,1
