year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,0.998857142857143,1,1,1,1,1,1,1,1,0.998571428571429,1
2013,0.998571428571429,1,1,1,1,1,1,0.999714285714286,1,0.999142857142857,1
2014,0.998571428571429,1,1,1,1,1,1,0.999714285714286,1,0.998857142857143,1
2015,0.998571428571429,1,1,1,1,1,1,0.999714285714286,1,0.998857142857143,1
2016,0.998571428571429,0.999714285714286,1,1,1,1,1,0.999428571428571,1,0.999142857142857,0.999714285714286
