year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,1,1,1,1,1,1,1,0.999714285714286,1,0.286285714285714,1
2010,1,1,1,1,1,1,1,0.999142857142857,1,0.286285714285714,1
2011,1,1,1,1,1,1,0.998285714285714,0.999142857142857,1,0.286285714285714,1
2012,1,1,1,0.999714285714286,1,1,0.998,0.999428571428571,1,0.286285714285714,1
2013,1,1,1,0.999428571428571,1,1,0.998285714285714,0.999428571428571,1,0.286285714285714,0.999428571428571
