year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2011,1,1,1,1,1,1,0.910571428571429,0.998571428571429,1,1,1
2012,1,1,1,1,1,1,1,0.999428571428571,1,1,0.996
2013,1,1,1,1,1,1,1,0.997714285714286,1,1,0.995714285714286
2014,1,1,1,1,1,1,1,0.998571428571429,1,0.998857142857143,0.995428571428571
2015,1,1,1,1,1,1,1,0.998,1,0.999428571428571,0.995428571428571
2016,1,1,1,1,1,1,1,0.994857142857143,1,1,0.995428571428571
2017,1,1,1,1,1,1,1,0.995142857142857,1,1,0.995428571428571
2018,1,1,1,1,1,1,0.837142857142857,1,1,0.999142857142857,0.995428571428571
2019,1,1,1,1,1,1,0.999714285714286,0.998,1,0.998571428571429,0.995428571428571
2020,1,1,1,1,1,1,0.847714285714286,0.999428571428571,1,0.994857142857143,0.995428571428571
