year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,1,1,1,1,1,1,1,0.998857142857143,1,0.683142857142857,1
2013,1,1,1,1,1,1,1,0.998857142857143,1,0.683142857142857,0.999714285714286
2014,1,0.999428571428571,1,1,1,1,1,0.999714285714286,0.999714285714286,0.683142857142857,0.999428571428571
2015,1,0.999428571428571,1,1,1,1,1,0.999714285714286,0.999428571428571,0.683142857142857,0.999142857142857
2016,1,0.999428571428571,1,1,1,1,1,0.999142857142857,0.999428571428571,0.683142857142857,0.999142857142857
