year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,1,1,1,1,1,1,0.999142857142857,0.998857142857143,1,0,1
2010,1,1,1,1,1,1,1,0.999714285714286,1,0.824285714285714,1
2011,1,1,1,1,1,1,0.997714285714286,0.998857142857143,1,0.824285714285714,1
2012,1,1,1,1,1,1,1,0.999428571428571,1,0.824285714285714,1
2013,1,1,1,1,1,1,1,0.996571428571429,1,0.824285714285714,1
2014,1,1,1,1,1,1,1,0.952285714285714,1,0.824285714285714,1
