year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,0.974285714285714,1,1,0.858,1,1,0.861142857142857,0.85,1,0.85,1
2010,0.850285714285714,1,0.993428571428571,0.856,1,1,0.857142857142857,0.974,1,0.849428571428571,1
2011,0.850285714285714,0.865428571428571,0.942,0.853428571428571,1,1,0.809714285714286,0.882285714285714,1,0.850857142857143,1
2012,0.850285714285714,0.856285714285714,0.942,0.853428571428571,1,1,0.808,0.849428571428571,1,0.851428571428571,1
2013,0.85,0.853142857142857,0.941714285714286,0.853428571428571,1,1,0.808857142857143,0.882,1,0.857428571428571,1
2014,0.85,0.853142857142857,0.940571428571429,0.853428571428571,1,1,0.809714285714286,0.883142857142857,1,0.858857142857143,1
2015,0.85,0.852857142857143,0.940571428571429,0.853428571428571,0.999714285714286,1,0.809428571428571,0.885428571428571,1,0.850857142857143,0.999714285714286
2016,0.726571428571429,0.852,0.940571428571429,0.844857142857143,0.999714285714286,1,1,0.854571428571429,1,0.848857142857143,0.959428571428571
2017,0.725714285714286,0.851428571428571,0.940285714285714,0.844857142857143,0.999714285714286,1,1,0.854857142857143,1,0.849142857142857,0.861428571428571
2018,0.725714285714286,0.851142857142857,0.938,0.844571428571429,0.957714285714286,1,1,0.854857142857143,1,0.850285714285714,0.857142857142857
