year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2019,0.714285714285714,1,1,0.982857142857143,1,1,0.571428571428571,1,1,1,1
2020,0.714285714285714,1,1,0.982857142857143,1,1,0.571142857142857,1,1,1,1
