year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2012,1,1,1,1,1,1,0.707714285714286,0.994,1,1,1
2013,1,1,1,1,1,1,0.707714285714286,0.783428571428571,1,1,1
