year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2010,0.996285714285714,1,1,1,1,1,0.561428571428571,0.996857142857143,1,0.563428571428571,1
2011,0.952857142857143,1,1,1,1,1,0.561428571428571,0.996571428571429,1,0.563428571428571,1
