year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2019,1,1,1,1,1,1,1,0.854,1,1,1
2020,1,1,1,1,1,1,1,0.854,1,1,1
