year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2014,1,1,1,1,1,1,1,1,1,0.460857142857143,1
2015,1,1,1,1,1,0.857142857142857,1,1,1,0.460857142857143,1
